日付,到着時刻,定刻,遅延(分),状況,系統,バス停名,ナンバー,バス会社
2026/06/18,08:05,08:02,3,定時,89,潮平（那覇バスターミナル向け）,沖縄200か1523,琉球バス交通
2026/06/18,08:05,08:03,2,定時,89,高良（那覇バスターミナル向け）,沖縄200か 1153,沖縄バス
2026/06/18,08:05,08:08,-3,早着 -3分,89,赤嶺駅前（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/06/18,08:05,07:54,11,遅延 +11分,89,小禄駅前（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/06/18,08:05,07:58,7,遅延 +7分,89,金城（那覇バスターミナル向け）,沖縄200か911,琉球バス交通
2026/06/18,08:05,08:01,4,遅延 +4分,89,与儀十字路（那覇署前　牧志駅・おもろまち方面）,沖縄230あ 1029,沖縄バス
2026/06/18,08:05,08:10,-5,早着 -5分,89,赤嶺安里原（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/06/18,08:06,07:55,11,遅延 +11分,89,田原（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/06/18,08:07,08:05,2,定時,89,宇栄原入口（那覇バスターミナル向け）,沖縄200か 1153,沖縄バス
2026/06/18,08:07,08:09,-2,早着 -2分,89,開南（那覇バスターミナル・旭橋向け）,沖縄230あ 1029,沖縄バス
2026/06/18,08:08,08:04,4,遅延 +4分,89,阿波根（那覇バスターミナル向け）,沖縄200か1523,琉球バス交通
2026/06/18,08:08,08:12,-4,早着 -4分,89,小禄駅前（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/06/18,08:09,08:06,3,定時,89,新町入口（那覇バスターミナル向け）,沖縄200か 1153,沖縄バス
2026/06/18,08:09,08:01,8,遅延 +8分,89,軍桟橋前（那覇空港→旭橋方面）,沖縄200か911,琉球バス交通
2026/06/18,08:09,08:05,4,遅延 +4分,89,翁長（那覇バスターミナル向け）,沖縄200か1523,琉球バス交通
2026/06/18,08:09,08:07,2,定時,89,第二ゲート（那覇バスターミナル向け）,沖縄200か 1153,沖縄バス
2026/06/18,08:09,07:56,13,遅延 +13分,89,那覇西高校前（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/06/18,08:10,08:10,0,定時,89,糸満バスターミナル（那覇・米須・高嶺向け）,沖縄200か 930,沖縄バス
2026/06/18,08:10,08:13,-3,早着 -3分,89,田原（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/06/18,08:10,08:05,5,遅延 +5分,89,翁長入口（那覇バスターミナル向け）,沖縄200か1523,琉球バス交通
2026/06/18,08:11,08:10,1,定時,89,糸満市役所入口（那覇・米須・高嶺向け）,沖縄200か 930,沖縄バス
2026/06/18,08:12,08:12,0,定時,89,那覇高校前（那覇バスターミナル・旭橋向け）,沖縄230あ 1029,沖縄バス
2026/06/18,08:12,08:11,1,定時,89,糸満市場入口（那覇・米須・高嶺向け）,沖縄200か 930,沖縄バス
2026/06/18,08:12,08:08,4,遅延 +4分,89,豊見城南高校前（那覇バスターミナル向け）,沖縄200か1523,琉球バス交通
2026/06/18,08:13,08:10,3,定時,89,糸満バスターミナル（那覇・米須・高嶺向け）,沖縄200か1521,琉球バス交通
2026/06/18,08:13,08:12,1,定時,89,糸満ロータリー（那覇・沖水向け）,沖縄200か 930,沖縄バス
2026/06/18,08:14,08:13,1,定時,89,糸満西区（那覇・沖水向け）,沖縄200か 930,沖縄バス
2026/06/18,08:14,08:17,-3,早着 -3分,89,金城（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/06/18,08:14,08:12,2,定時,89,県庁南口（那覇バスターミナル・旭橋向け）,沖縄230あ 1029,沖縄バス
2026/06/18,08:14,08:13,1,定時,89,白銀堂前（那覇・沖水向け）,沖縄200か 930,沖縄バス
2026/06/18,08:14,08:04,10,遅延 +10分,89,公園前（那覇バスターミナル向け）,沖縄200か911,琉球バス交通
2026/06/18,08:15,08:14,1,定時,89,糸満入口（那覇・沖水向け）,沖縄200か 930,沖縄バス
2026/06/18,08:15,08:10,5,遅延 +5分,89,与根入口（那覇バスターミナル向け）,沖縄200か1523,琉球バス交通
